time              dlat_rad          dlon_rad          dh_m              dVn               dVh               dVe               dpsi_rad          dtheta_rad        dphi_rad          ba_x              ba_y              ba_z              bg_x              bg_y              bg_z              dN_m              dE_m              
9.35419955e+00    -1.75701828e-10   4.03733144e-10    1.14678508e-02    -4.31634158e-04   2.73398077e-03    8.66216875e-04    8.53698963e-06    8.62106519e-06    1.73990212e-05    -7.25391325e-06   2.34952176e-04    1.47169533e-05    6.67060930e-07    -6.04748150e-08   3.31763573e-07    -1.11939634e-03   1.73305454e-03    
9.54320358e+00    -2.72583860e-11   2.54946279e-10    1.10979684e-02    3.94040304e-05    2.56855119e-03    5.08871834e-04    1.29741364e-05    -1.89470746e-06   1.01132083e-05    1.71476062e-06    2.22686074e-04    8.74366333e-06    3.95668284e-07    -9.56412722e-08   -7.36825178e-08   -1.73663178e-04   1.09437586e-03    
9.73520768e+00    -1.64832319e-10   1.26696238e-10    1.07059827e-02    -3.72603896e-04   2.40248267e-03    2.23851446e-04    1.40398324e-05    7.87994605e-06    4.14391927e-06    -6.79955449e-06   2.09877574e-04    3.51191718e-06    1.65669407e-07    -1.06782445e-07   3.17220907e-07    -1.05014670e-03   5.43853024e-04    
9.92121165e+00    -2.38971852e-10   2.11147406e-10    9.78206549e-03    -5.79394361e-04   2.07751309e-03    3.70897018e-04    1.38328047e-05    1.31317825e-05    8.33846069e-06    -1.11156258e-05   1.82583835e-04    7.02697475e-06    3.42401654e-07    -1.09211818e-07   5.41038819e-07    -1.52248967e-03   9.06365943e-04    
1.01192159e+01    -2.06725500e-10   2.00611548e-10    9.68844540e-03    -5.17242705e-04   2.02362492e-03    3.60659375e-04    8.58235837e-06    1.01742103e-05    7.45486959e-06    -8.51539802e-06   1.78770499e-04    6.23059993e-06    3.12547429e-07    -7.04940905e-08   4.28240498e-07    -1.31704816e-03   8.61139987e-04    
1.03232202e+01    5.77880383e-11    5.96029123e-10    8.94183469e-03    2.90539308e-04    1.76338222e-03    1.15189154e-03    7.63559768e-06    -7.15662700e-06   2.47691846e-05    5.97433556e-06    1.56442006e-04    2.06194410e-05    1.06104126e-06    -6.71676016e-08   -3.06234869e-07   3.68167592e-04    2.55849933e-03    
1.05092242e+01    -3.91537415e-12   6.63949120e-10    8.27827931e-03    1.32308894e-04    1.55001914e-03    1.29392550e-03    4.70147847e-06    -2.38943382e-06   2.66723546e-05    2.01541541e-06    1.37870256e-04    2.24547604e-05    1.15883247e-06    -4.29952367e-08   -1.03501118e-07   -2.49448487e-05   2.85005097e-03    
1.06982282e+01    -1.68556544e-11   7.73308498e-10    8.29162826e-03    7.09709780e-05    1.55116368e-03    1.49416536e-03    5.18417620e-06    -1.66260468e-06   3.08295219e-05    1.43329032e-06    1.38253898e-04    2.57856991e-05    1.35974067e-06    -4.89112100e-08   -7.27436847e-08   -1.07387374e-04   3.31948423e-03    
1.08842322e+01    2.23983488e-11    8.86642246e-10    7.79656308e-03    2.06037385e-04    1.39801471e-03    1.70418257e-03    4.02481584e-06    -3.67962743e-06   3.52336648e-05    3.01902470e-06    1.24728761e-04    2.89407461e-05    1.57671054e-06    -3.96213482e-08   -1.64330738e-07   1.42699881e-04    3.80597777e-03    
1.10732362e+01    -3.14930508e-11   5.78604365e-10    6.74120079e-03    -2.36925493e-06   1.08048758e-03    1.09553075e-03    5.02921103e-06    -8.44575909e-07   2.16083329e-05    7.19960424e-07    9.62721090e-05    1.76449676e-05    9.78779323e-07    -5.00318295e-08   -3.78750800e-08   -2.00642226e-04   2.48370226e-03    
1.12622403e+01    6.43363341e-11    3.08681744e-10    6.42235933e-03    3.09220865e-04    9.92156697e-04    5.39391333e-04    3.11137079e-06    -6.04094756e-06   1.04831601e-05    4.90724277e-06    8.82630874e-05    8.53522775e-06    4.79954167e-07    -3.21446546e-08   -2.76505751e-07   4.09886785e-04    1.32503934e-03    
1.14572444e+01    -2.78127828e-11   2.58779891e-10    6.03621546e-03    1.70110116e-05    8.84399849e-04    4.47934845e-04    7.51393645e-06    -6.37537855e-07   8.27160989e-06    5.05805426e-07    7.85218874e-05    6.58329623e-06    3.83036098e-07    -7.86071729e-08   -2.93691215e-08   -1.77195239e-04   1.11083192e-03    
1.16492485e+01    -8.28045253e-11   4.64722224e-10    5.87066715e-03    -1.43912766e-04   8.44424067e-04    8.00988187e-04    5.86779192e-06    2.68279597e-06    1.68433761e-05    -2.14414819e-06   7.48408304e-05    1.35919980e-05    7.86282375e-07    -6.32354258e-08   1.25476103e-07    -5.27547631e-04   1.99485470e-03    
1.18322524e+01    -1.51542207e-10   3.09272224e-10    4.86941806e-03    -3.45363123e-04   5.64412232e-04    5.17629908e-04    8.23144123e-06    6.56027480e-06    1.01702584e-05    -5.36827639e-06   4.97588427e-05    8.34282355e-06    4.77777968e-07    -9.07074966e-08   3.08394998e-07    -9.65475401e-04   1.32757402e-03    
