time           x0             x1             x2             x3             x4             x5             x6             x7             x8             x9             x10            x11            x12            x13            x14            
476.6053       0.0000         0.0000         0.0007         0.0005         0.0001         0.0008         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.7083       0.0000         0.0000         0.0008         0.0004         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.8057       0.0000         0.0000         0.0006         0.0004         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
476.9059       0.0000         0.0000         0.0006         0.0003         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.0067       0.0000         0.0000         0.0005         0.0002         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.1062       0.0000         0.0000         0.0005         0.0002         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.2047       0.0000         0.0000         0.0004         0.0002         0.0000         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.3085       0.0000         0.0000         0.0005         0.0002         0.0001         0.0008         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.4081       0.0000         0.0000         0.0006         0.0002         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.5084       0.0000         0.0000         0.0005         0.0001         0.0001         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.6025       0.0000         0.0000         0.0005         0.0001         0.0000         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.7024       0.0000         0.0000         0.0004         0.0000         0.0000         0.0009         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
477.8056       -0.0000        0.0000         0.0003         -0.0000        0.0000         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
477.9060       -0.0000        0.0000         0.0002         -0.0000        0.0000         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.0058       -0.0000        0.0000         0.0003         -0.0000        0.0000         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.1056       -0.0000        0.0000         0.0004         -0.0000        0.0000         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.2060       -0.0000        0.0000         0.0004         -0.0000        0.0000         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.3074       -0.0000        0.0000         0.0004         -0.0000        0.0000         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.4054       -0.0000        0.0000         0.0006         -0.0000        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.5045       -0.0000        0.0000         0.0007         -0.0000        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.6038       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.7045       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.8062       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
478.9058       -0.0000        0.0000         0.0007         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.0056       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.1027       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.2081       -0.0000        0.0000         0.0008         -0.0001        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.3061       -0.0000        0.0000         0.0006         -0.0000        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.4067       -0.0000        0.0000         0.0005         -0.0000        0.0001         0.0009         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.5067       -0.0000        0.0000         0.0006         -0.0000        0.0001         0.0010         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.6056       -0.0000        0.0000         0.0007         -0.0000        0.0001         0.0009         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.7081       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0009         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.8082       -0.0000        0.0000         0.0006         -0.0001        0.0001         0.0009         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
479.9057       -0.0000        0.0000         0.0005         -0.0001        0.0001         0.0008         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
480.0051       -0.0000        0.0000         0.0005         -0.0001        0.0001         0.0008         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
480.1055       -0.0000        0.0000         0.0005         -0.0001        0.0001         0.0008         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
480.2075       -0.0000        0.0000         0.0004         -0.0000        0.0000         0.0008         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
480.3084       -0.0000        0.0000         0.0003         -0.0000        0.0000         0.0007         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
480.4058       -0.0000        0.0000         0.0003         -0.0000        0.0000         0.0007         -0.0000        -0.0000        -0.0000        0.0000         0.0000         -0.0000        -0.0000        0.0000         -0.0000        
480.5063       0.0000         0.0000         0.0003         0.0000         0.0000         0.0006         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
480.6070       -0.0000        0.0000         0.0004         0.0000         0.0000         0.0006         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
480.7034       0.0000         0.0000         0.0004         0.0000         0.0000         0.0006         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
480.8085       0.0000         0.0000         0.0004         0.0001         0.0000         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
480.9076       0.0000         0.0000         0.0005         0.0001         0.0000         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.0062       0.0000         0.0000         0.0005         0.0001         0.0001         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.1051       0.0000         0.0000         0.0005         0.0001         0.0001         0.0006         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.2028       0.0000         0.0000         0.0004         0.0001         0.0000         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.3021       0.0000         0.0000         0.0003         0.0001         0.0000         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.4031       0.0000         0.0000         0.0004         0.0001         0.0000         0.0005         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.5056       0.0000         0.0000         0.0004         0.0001         0.0000         0.0004         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.6092       0.0000         0.0000         0.0004         0.0001         0.0000         0.0004         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.7023       0.0000         0.0000         0.0004         0.0001         0.0000         0.0004         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.8037       0.0000         0.0000         0.0003         0.0001         0.0000         0.0004         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
481.9051       0.0000         0.0000         0.0004         0.0001         0.0000         0.0003         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
482.0052       0.0000         0.0000         0.0004         0.0001         0.0000         0.0003         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
482.1046       0.0000         0.0000         0.0004         0.0002         0.0000         0.0002         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
482.2060       0.0000         0.0000         0.0003         0.0001         0.0000         0.0002         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
482.3052       0.0000         0.0000         0.0001         0.0001         0.0000         0.0002         -0.0000        0.0000         -0.0000        -0.0000        0.0000         -0.0000        -0.0000        0.0000         0.0000         
